name,link
"Isacsz, Jaspar",https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=4425

"Isenbrant, Adriaen",https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=1415

Isfahan 17th Century,https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=2841

"Isham, Shelia Eaton",https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=4426

"Isham, Tim",https://web.archive.org/web/20121010200038/http://www.nga.gov/cgi-bin/tsearch?artistid=20074

"Ishikawa, Ryusen",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=4427

"Isono, Derrick",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=28971

"Isozaki, Arata",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=5674

"Israelovich, Gregory Alexandrovich",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=4428

"Isselburg, Peter",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=6250

"Istler, Josef",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=24770

Italian,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8364

Italian 11th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8284

Italian 12th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8285

Italian 13th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8286

Italian 14th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8287

Italian 15th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8293

Italian 15th century (Umbrian),https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=28713

Italian 16th/17th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=17293

Italian 16th/19th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=6923

Italian 16th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8310

Italian 17th/19th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=6921

Italian 17th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8329

Italian 18th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8333

Italian 19th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8336

Italian 20th Century,https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=8339

"Ito, Wako",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=6637

"Iturbide, Graciela",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=22253

"Ivara, Filippo",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=2585

"Iverson, Jane",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=7673

"Ives, James Merritt",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=4429

"Ivy, Gregory Dowler",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=35066

"Izant, Stephen",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=4430

"Izumi, Shigeru",https://web.archive.org/web/20121010200031/http://www.nga.gov/cgi-bin/tsearch?artistid=4431

